Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability,Area_SqFt,Region,Price_Lakh,Latitude,Longitude,USD
Hiranandani Eagleridge ,2306 Hiranandani Estate Thane Mumbai,3.1 Crore,25833,Carpet Area,3,3,23,0 to 1 Year,Ready To Move,1200,Hiranandani-Estate Thane,310,19.2570093,72.9839263,3647.058824
Sri Balaji Enclave ,Malad West Mumbai,99 Lac,26541,Carpet Area,1,1,19,0 to 1 Year,Ready To Move,373,Malad Mumbai,99,19.1840129,72.8412155,1164.705882
Unnamed Property,303 Naupada Thane Mumbai,98 Lac,16610,Super Built Up Area,1,1,3,1 to 5 Year,Ready To Move,590,Naupada Thane,98,19.2000627,72.9666732,1152.941176
Unnamed Property,202 Ram Maruti Road Thane Mumbai,1.2 Crore,20000,Super Built Up Area,1,2,2,0 to 1 Year,Ready To Move,600,Road Thane,120,19.2440069,73.1213724,1411.764706
Unnamed Property,602 Naupada Thane Mumbai,1.05 Crore,17500,Super Built Up Area,1,2,6,10+ Year,Ready To Move,600,Naupada Thane,105,19.2000627,72.9666732,1235.294118
Unnamed Property,202 Thane West Thane Mumbai,1.2 Crore,20338,Super Built Up Area,1,2,2,0 to 1 Year,Ready To Move,590,Thane Thane,120,19.03160615,73.0142513,1411.764706
Unnamed Property,602 Naupada Thane Mumbai,1.05 Crore,17500,Super Built Up Area,1,2,6,10+ Year,Ready To Move,600,Naupada Thane,105,19.2000627,72.9666732,1235.294118
Unnamed Property,602 Naupada Thane Mumbai,72 Lac,15652,Super Built Up Area,1,1,6,10+ Year,Ready To Move,460,Naupada Thane,72,19.2000627,72.9666732,847.0588235
Unnamed Property,602 Naupada Thane Mumbai,72 Lac,15652,Super Built Up Area,1,1,6,10+ Year,Ready To Move,460,Naupada Thane,72,19.2000627,72.9666732,847.0588235
Dharti Sai Archana ,Kamothe Navi Mumbai Mumbai,92 Lac,8070,Super Built Up Area,2,2,3,1 to 5 Year,Ready To Move,1140,Kamothe Navi-Mumbai,92,19.0173837,73.0954838,1082.352941
Unnamed Property,302 Naupada Thane Mumbai,1.65 Crore,17187,Super Built Up Area,2,2,3,1 to 5 Year,Ready To Move,960,Naupada Thane,165,19.2000627,72.9666732,1941.176471
Indiabulls Greens ,000 Panvel Navi Mumbai Mumbai,88 Lac,7062,Super Built Up Area,3,3,19,1 to 5 Year,Ready To Move,1246,Panvel Navi-Mumbai,88,19.0298386,73.0308805,1035.294118
Unnamed Property,1002 Hiranandani Estate Thane Mumbai,1.45 Crore,19333,Carpet Area,2,2,10,10+ Year,Ready To Move,750,Hiranandani-Estate Thane,145,19.2570093,72.9839263,1705.882353
Unnamed Property,500 Hiranandani Estate Thane Mumbai,1.45 Crore,19863,Carpet Area,2,2,5,10+ Year,Ready To Move,730,Hiranandani-Estate Thane,145,19.2570093,72.9839263,1705.882353
Unnamed Property,Thane West Thane Mumbai,4.75 Crore,16964,Super Built Up Area,4,3,17,0 to 1 Year,Ready To Move,2800,Thane Thane,475,19.03160615,73.0142513,5588.235294
Shital Tapovan Heights ,Ulwe Navi Mumbai Mumbai,59 Lac,8805,Super Built Up Area,1,2,11,1 to 5 Year,Ready To Move,670,Ulwe Navi-Mumbai,59,18.97686135,73.02013111,694.1176471
Soham Tropical Lagoon ,666 kavesar Thane Mumbai,1.45 Crore,12083,Super Built Up Area,2,2,6,5 to 10 Year,Ready To Move,1200,Kavesar Thane,145,19.2623339,72.9722476,1705.882353
